"['AFL-1.2', 'AFL-1.1']","3887"
"['AFL-2.0', 'AFL-2.1', 'AFL-3.0']","1187"
"['AGPL-1.0-only', 'AGPL-1.0-or-later']","1262"
"['AGPL-3.0-or-later', 'AGPL-3.0-only']","7132"
"['APSL-2.0', 'APSL-1.0', 'APSL-1.1', 'APSL-1.2']","4147"
"['Artistic-1.0-cl8', 'Artistic-1.0', 'Artistic-1.0-Perl']","13352"
"['BSD-4-Clause', 'BSD-3-Clause-No-Nuclear-License-2014', 'BSD-2-Clause', 'BSD-3-Clause-Attribution', 'BSD-3-Clause', 'BSD-3-Clause-Clear']","8787"
"['BSD-3-Clause-No-Nuclear-Warranty', 'BSD-3-Clause-No-Nuclear-License']","8532"
"['BitTorrent-1.0', 'BitTorrent-1.1']","14122"
"['CC-BY-SA-4.0', 'CC-BY-NC-4.0', 'CC-BY-4.0', 'CC-BY-NC-SA-4.0', 'CC-BY-NC-ND-4.0', 'CC-BY-ND-4.0']","16342"
"['CC-BY-NC-ND-1.0', 'CC-BY-SA-1.0', 'CC-BY-NC-SA-3.0', 'CC-BY-NC-SA-1.0', 'CC-BY-NC-ND-2.5', 'CC-BY-ND-1.0', 'CC-BY-3.0', 'CC-BY-NC-ND-2.0', 'CC-BY-NC-3.0', 'CC-BY-SA-2.0', 'CC-BY-SA-2.5', 'CC-BY-2.0', 'CC-BY-SA-3.0', 'CC-BY-NC-2.5', 'CC-BY-NC-2.0', 'CC-BY-NC-1.0', 'CC-BY-NC-SA-2.5', 'CC-BY-ND-2.0', 'CC-BY-ND-2.5', 'CC-BY-1.0', 'CC-BY-NC-SA-2.0', 'CC-BY-NC-ND-3.0', 'CC-BY-ND-3.0', 'CC-BY-2.5']","672"
"['CDDL-1.1', 'CDDL-1.0']","4367"
"['CDLA-Permissive-1.0', 'CDLA-Sharing-1.0']","13852"
"['CECILL-2.1', 'CECILL-C', 'CECILL-2.0', 'CECILL-1.1', 'CECILL-B']","19172"
"['CPL-0.5', 'CPL-1.0']","8802"
"['Condor-1.0', 'Condor-1.1']","792"
"['EFL-1.0', 'EFL-2.0']","567"
"['EPL-2.0', 'EPL-1.0']","8652"
"['EUPL-1.2', 'EUPL-1.0', 'EUPL-1.1']","27897"
"['Flora', 'Flora-1.1']","10782"
"['GFDL-1.1-only', 'GFDL-1.1-or-later', 'GFDL-1.2-only', 'GFDL-1.2-or-later', 'GFDL-1.3-only', 'GFDL-1.3-or-later']","11177"
"['GPL-1.0-only', 'GPL-1.0-or-later', 'GPL-2.0-only', 'GPL-2.0-or-later']","17602"
"['GPL-2.0-with-classpath-exception', 'GPL-3.0+-with-classpath-exception', 'GPL-2.0+-with-classpath-exception']","10362"
"['GPL-3.0+-with-bison-exception', 'GPL-3.0-with-bison-exception', 'GPL-2.0+-with-bison-exception', 'GPL-2.0-with-bison-exception']","6187"
"['GPL-3.0-only', 'GPL-3.0-or-later']","14757"
"['LGPL-2.1-only', 'LGPL-2.1-or-later', 'LGPL-2.0-or-later', 'LGPL-2.1+', 'LGPL-2.0-only']","702"
"['LGPL-3.0-or-later', 'LGPL-3.0-only']","962"
"['LPL-1.0', 'LPL-1.02']","8952"
"['LPPL-1.2', 'LPPL-1.1']","6577"
"['LPPL-1.3c', 'LPPL-1.3a', 'LPPL-1.3b']","2217"
"['LiLiQ-Rplus-1.1', 'LiLiQ-R-1.1', 'LiLiQ-P-1.1']","11072"
"['MIT-0', 'MIT']","5652"
"['MIT-advertising', 'MIT-feh']","3052"
"['MPL-1.0', 'MPL-1.1']","15102"
"['MPL-2.0', 'MPL-2.0-no-copyleft-exception']","1647"
"['MPL-EULA-2.0', 'MPL-EULA-3.0', 'MPL-EULA-1.1']","4297"
"['MS-LPL', 'MS-RL', 'MS-PL']","2287"
"['NPL-1.0', 'NPL-1.1']","12107"
"['OFL-1.0', 'OFL-1.1']","14567"
"['OLDAP-1.1', 'OLDAP-1.2', 'OLDAP-1.4', 'OLDAP-1.3']","22022"
"['OLDAP-2.7', 'OLDAP-2.2.1', 'OLDAP-2.3', 'OLDAP-2.2.2', 'OLDAP-2.1', 'OLDAP-2.6', 'OLDAP-2.2', 'OLDAP-2.0.1', 'OLDAP-2.0', 'OLDAP-2.8', 'OLDAP-2.4', 'OLDAP-2.5']","28497"
"['OSL-2.0', 'OSL-1.1', 'OSL-2.1', 'OSL-3.0', 'OSL-1.0']","7912"
"['PHP-3.01', 'PHP-3.0']","2297"
"['Python-2.4.4', 'Python-2.7', 'Python-3.1.1', 'Python-2.3.7', 'Python-2.0.1', 'Python-2.5', 'Python-2.2.3', 'Python-2.1.3', 'Python-2.6.5']","16847"
"['RPL-1.5', 'RPL-1.1']","512"
"['SGI-B-1.0', 'SGI-B-1.1']","10667"
"['SISSL', 'SISSL-1.2']","1622"
"['SNIA-1.1', 'SNIA']","10707"
"['Unicode-DFS-2015', 'Unicode-DFS-2016']","392"
"['YPL-1.0', 'YPL-1.1']","7307"
"['Zimbra-1.4', 'Zimbra-1.3']","1862"
"['0BSD']","11662"
"['389-exception']","1807"
"['AAL']","812"
"['ACE']","487"
"['ADSL']","3472"
"['AMDPLPA']","1732"
"['AML']","7247"
"['AMPAS']","542"
"['ANTLR-PD']","4377"
"['APAFML']","1312"
"['APL-1.0']","1247"
"['ATI-EULA']","457"
"['Abstyles']","647"
"['Adaptec']","17547"
"['Adobe-2006']","4627"
"['Adobe-Glyph']","7872"
"['AdobeAFM']","6562"
"['Afmparse']","8482"
"['Against-DRM']","1872"
"['Agere']","3792"
"['Aladdin']","1817"
"['Alfresco-FLOSS']","25437"
"['Apache-1.0']","9547"
"['Apache-1.1']","1307"
"['Apache-2.0']","1462"
"['Aptana-1.0']","782"
"['Arphic']","5527"
"['Artistic-2.0']","1117"
"['Ascender-EULA']","1017"
"['Autoconf-exception-2.0']","92"
"['Autoconf-exception-3.0']","6857"
"['BSD-1-Clause']","1892"
"['BSD-2-Clause-FreeBSD']","1297"
"['BSD-2-Clause-NetBSD']","1752"
"['BSD-2-Clause-Patent']","12"
"['BSD-3-Clause-LBNL']","6892"
"['BSD-3-Clause-Severability']","8017"
"['BSD-4-Clause-UC']","1112"
"['BSD-Doc']","962"
"['BSD-Protection']","237"
"['BSD-Source-Code']","1047"
"['BSD-style']","512"
"['BSL-1.0']","1162"
"['Bahyph']","542"
"['Barr']","352"
"['Beerware']","402"
"['Bison-exception-2.2']","2867"
"['Bitstream']","4877"
"['Bootloader-exception']","11927"
"['Borceux']","5377"
"['Broadcom-EULA']","5417"
"['CATOSL-1.1']","1142"
"['CC0-1.0']","2277"
"['CCLRC']","6582"
"['CECILL-1.0']","3142"
"['CLISP-exception-2.0']","2742"
"['CMake']","3287"
"['CNRI-Jython']","1907"
"['CNRI-Python']","15137"
"['CNRI-Python-GPL-Compatible']","6357"
"['CPAL-1.0']","747"
"['CPOL-1.02']","9607"
"['CUA-OPL-1.0']","967"
"['Caldera']","36357"
"['Cisco']","357"
"['Citrix']","1292"
"['ClArtistic']","5142"
"['Classpath-exception-2.0']","17212"
"['ClearSilver']","812"
"['CompuServe']","827"
"['Comtrol']","5967"
"['Crossword']","1692"
"['Cryptogams']","3472"
"['CrystalStacker']","2462"
"['Cube']","18922"
"['Cygnus-eCos-1.0']","197"
"['D-FSL-1.0']","11332"
"['DOC']","472"
"['DSDP']","1142"
"['DigiRule-FOSS-exception']","1817"
"['Docbook']","22667"
"['Dotseqn']","19927"
"['Dual-license']","1662"
"['ECL-1.0']","2332"
"['ECL-2.0']","10452"
"['EDL-1.0']","1082"
"['EUDatagrid']","152"
"['Entessa']","122"
"['Epinions']","157"
"['ErlPL-1.1']","1217"
"['Eurosym']","1077"
"['FAL-1.3']","5047"
"['FLTK-exception']","167"
"['FSFAP']","1102"
"['FSFUL']","8677"
"['FSFULLR']","4742"
"['FTL']","847"
"['FaCE']","502"
"['Fair']","4297"
"['Fawkes-Runtime-exception']","17512"
"['Fedora']","8162"
"['FedoraCLA']","14627"
"['Ferris-1.2']","992"
"['Flora-1.0']","347"
"['Font-exception-2.0']","4562"
"['Frameworx-1.0']","392"
"['FreeImage']","667"
"['Freeware']","542"
"['GCC-exception-2.0']","11332"
"['GCC-exception-3.1']","1347"
"['GL2PS']","2652"
"['GPL-2.0-with-GCC-exception']","1487"
"['GPL-2.0-with-autoconf-exception']","1167"
"['GPL-2.0-with-font-exception']","387"
"['GPL-3.0-with-GCC-exception']","2677"
"['GPL-3.0-with-autoconf-exception']","852"
"['Giftware']","467"
"['Glide']","1827"
"['Glulxe']","2462"
"['H2-1.0']","7372"
"['HPND']","677"
"['HSQLDB']","1252"
"['Hacktivismo']","3447"
"['HaskellReport']","9997"
"['Hauppauge']","627"
"['Helix.RealNetworks-EULA']","16162"
"['IBM-pibs']","8827"
"['ICU']","14292"
"['IJG']","1577"
"['IPA']","7192"
"['IPL-1.0']","1572"
"['ISC']","11517"
"['ImageMagick']","2417"
"['Imlib2']","1632"
"['Info-ZIP']","872"
"['Intel']","1242"
"['Intel-ACPI']","8672"
"['Intel-WLAN']","2102"
"['Interbase-1.0']","4747"
"['JISP']","647"
"['JSON']","1017"
"['Jabber-1.0']","712"
"['JasPer-2.0']","9667"
"['LAL-1.2']","432"
"['LAL-1.3']","5547"
"['LGPL-2.1+-KDE-exception']","507"
"['LGPLLR']","577"
"['LIBGCJ']","212"
"['LLVM-exception']","697"
"['LPPL-1.0']","6447"
"['LZMA-exception']","527"
"['Latex2e']","3307"
"['Leptonica']","2357"
"['Libpng']","917"
"['Libtool-exception']","12"
"['Linux-OpenIB']","2772"
"['Linux-syscall-note']","97"
"['Logica-OSL-1.0']","6997"
"['M+']","77"
"['MIT-CMU']","1282"
"['MIT-enna']","1172"
"['MIT-style']","1482"
"['MITNFA']","2312"
"['MPL-1.1-style']","1502"
"['MTLL']","11787"
"['MX4J']","1777"
"['MX4J-1.0']","4247"
"['Majordomo-1.1']","2277"
"['MakeIndex']","1772"
"['MetroLink-1.0']","19587"
"['Mibble']","4967"
"['Migemo']","1077"
"['Mindterm']","1427"
"['MirOS']","20357"
"['MitreCVW']","1247"
"['Motorola']","9177"
"['Motosoto']","7757"
"['Multics']","182"
"['Mup']","4317"
"['NASA-1.3']","3972"
"['NBPL-1.0']","2472"
"['NCSA']","10707"
"['NGPL']","502"
"['NLOD-1.0']","6692"
"['NLPL']","1487"
"['NOSL']","10432"
"['NPOSL-3.0']","382"
"['NRL']","17"
"['NTP']","1457"
"['Naumen']","1017"
"['Net-SNMP']","982"
"['NetCDF']","912"
"['NewBSD']","862"
"['Newsletr']","1067"
"['No_license_found']","9487"
"['Nokia']","16092"
"['Nokia-Qt-exception-1.1']","542"
"['Noweb']","4677"
"['Nunit']","5117"
"['Nvidia']","10567"
"['Nvidia-EULA']","19627"
"['OASIS']","8622"
"['OCCT-PL']","4187"
"['OCCT-exception-1.0']","22"
"['OCLC-2.0']","1272"
"['ODC-By-1.0']","62"
"['ODbL-1.0']","11022"
"['OGTSL']","16677"
"['OML']","4022"
"['OPL-1.0']","1157"
"['OPL-style']","5262"
"['OSET-PL-2.1']","16217"
"['Open-PL-0.4']","4062"
"['Open-PL-1.0']","4997"
"['OpenDefinition']","2667"
"['OpenGroup']","9252"
"['OpenJDK-assembly-exception-1.0']","337"
"['OpenMap']","20572"
"['OpenSSL']","2687"
"['Oracle-Berkeley-DB']","1952"
"['Oracle-Dev']","16412"
"['PDDL-1.0']","16052"
"['PHP-2.02']","72037"
"['PS-or-PDF-font-exception-20170817']","852"
"['Phorum-2.0']","1002"
"['Piriform']","1347"
"['Pixware-EULA']","1057"
"['Plexus']","8602"
